nct_id,title,condition,phase,sponsor,status,start_date,completion_date,first_posted_date,last_update_posted_date
NCT06629779,A Study to Learn How PF-06821497 (Mevrometostat) Works in Men With Metastatic Castration-resistant Prostate Cancer.,Metastatic Castration-Resistant Prostate Cancer,PHASE3,Pfizer,RECRUITING,2024-10-22,2028-11-30,2024-10-08,2026-07-29
NCT00622479,Mechanistic Evaluation on Sorafenib Induced Hypophosphatemia.,"Carcinoma, Renal Cell",PHASE1,Bayer,TERMINATED,2008-05,2010-11,2008-02-25,2014-12-18
NCT06382779,Proximal Humerus Reconstruction After Resection for Tumors : Comparison Between Allograft Prosthetic Composite and Cement Sleeve Prosthetic Composite,Shoulder Disease,,"Central Hospital, Nancy, France",UNKNOWN,2024-04-15,2024-05-01,2024-04-24,2024-04-24
NCT04543279,Fostamatinib as a Single Agent or in Combination With Ruxolitinib for Treatment of Patients With Myelofibrosis With Severe Thrombocytopenia,Myelofibrosis,PHASE2,Washington University School of Medicine,TERMINATED,2021-05-03,2022-07-30,2020-09-10,2023-12-15
NCT01568996,Pilot Study Evaluating Sulforaphane in Atypical Nevi-Precursor Lesions,Atypical Nevi,EARLY_PHASE1,John Kirkwood,COMPLETED,2012-08,2016-04,2012-04-02,2018-01-09
NCT01204996,A Study of the Safety and Efficacy of CNTO 888 in Combination With SoC (Standard of Care) Chemotherapy in Patients With Solid Tumors,Cancer,PHASE1,"Centocor, Inc.",COMPLETED,2010-05,2011-11,2010-09-20,2012-05-30
NCT01334996,Use of Tamoxifen in Systemic Mastocytosis,Systemic Mastocytosis,,Mayo Clinic,COMPLETED,2005-02,2019-08-28,2011-04-13,2020-04-10
NCT03586596,Mobile Cessation Support for Latino Smokers,Smoking Cessation,NA,University of Rochester,COMPLETED,2018-09-01,2021-09-08,2018-07-13,2024-04-12
NCT06100796,Effect of DM on Outcomes and Response Rate in Patients With Advanced NSCLC on ICI,Non Small Cell Lung Cancer Metastatic,,Assiut University,UNKNOWN,2023-10-01,2024-12-31,2023-10-25,2023-10-25
NCT06095596,Efficacy and Safety of Vedolizumab Combined With Upadacitinib in Patients With Ulcerative Colitis,Ulcerative Colitis (UC),NA,"Sixth Affiliated Hospital, Sun Yat-sen University",RECRUITING,2023-11-01,2026-10-31,2023-10-23,2026-04-28
NCT07581496,T1G3R-1 Trial: Detectability and Prognostic Value of ctDNA in T1 G3 Bladder Cancer,Bladder Cancer,,"University Hospital, Basel, Switzerland",RECRUITING,2025-06-18,2030-06-01,2026-05-12,2026-05-18
NCT01709396,ED-TBI Followed By Allogeneic Stem Cell Transplantation For The Treatment Of Refractory AML And Advanced MDS,Acute Leukemia,PHASE2,Ottawa Hospital Research Institute,SUSPENDED,2012-01,2018-01,2012-10-18,2017-01-12
NCT06857279,A Phase II Clinical Study to Evaluate HLX43 in Subjects With Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma,Carcinoma of Head and/or Neck,PHASE2,Shanghai Henlius Biotech,RECRUITING,2025-04-22,2029-01-30,2025-03-04,2026-03-05
NCT00047879,Phase II Trial of Peginterferon Alpha-2b and Thalidomide in Adults With Recurrent Gliomas,Glioma,PHASE2,National Cancer Institute (NCI),COMPLETED,2002-10,2009-06,2002-10-23,2011-10-26
NCT06545396,Efficacy And Safety Of Illumination Dose Reduction In Red Light Photodynamic Therapy For Actinic Keratoses,Actinic Keratoses,NA,Fundacion para la Investigacion Biomedica del Hospital Universitario Ramon y Cajal,NOT_YET_RECRUITING,2024-08,2025-03,2024-08-09,2024-08-09
NCT05471596,Prospective Analysis of In Vivo Laparoscopic Microwave Ablation Thermodynamics,Liver Diseases,,Wake Forest University Health Sciences,COMPLETED,2022-02-14,2023-11-17,2022-07-25,2024-03-04
NCT04861896,A Research Study for Latina Women With Breast Cancer,"Cancer, Breast",NA,Northwestern University,COMPLETED,2021-04-01,2023-11-07,2021-04-27,2023-11-08
